SyNG-BTS实验记录
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
PAAD-DESeq-batch13-None-success|2025-10-22 22:09:55|0:00:33|46.9%|225/480
PAAD-DESeq-batch14-AE_head-success|2025-10-22 22:10:56|0:01:01|47.1%|226/480
PAAD-DESeq-batch14-None-success|2025-10-22 22:11:30|0:00:33|47.3%|227/480
PAAD-DESeq-batch15-AE_head-success|2025-10-22 22:12:30|0:01:00|47.5%|228/480
PAAD-DESeq-batch15-None-success|2025-10-22 22:13:03|0:00:32|47.7%|229/480
PAAD-DESeq-batch16-AE_head-success|2025-10-22 22:14:03|0:01:00|47.9%|230/480
PAAD-DESeq-batch16-None-success|2025-10-22 22:14:37|0:00:33|48.1%|231/480
PAAD-DESeq-batch17-AE_head-success|2025-10-22 22:15:36|0:00:59|48.3%|232/480
PAAD-DESeq-batch17-None-success|2025-10-22 22:16:09|0:00:32|48.5%|233/480
PAAD-DESeq-batch18-AE_head-success|2025-10-22 22:17:21|0:01:12|48.8%|234/480
PAAD-DESeq-batch18-None-success|2025-10-22 22:17:54|0:00:32|49.0%|235/480
PAAD-DESeq-batch19-AE_head-success|2025-10-22 22:18:52|0:00:58|49.2%|236/480
PAAD-DESeq-batch19-None-success|2025-10-22 22:19:24|0:00:32|49.4%|237/480
PAAD-DESeq-batch20-AE_head-success|2025-10-22 22:20:22|0:00:58|49.6%|238/480
PAAD-DESeq-batch20-None-success|2025-10-22 22:20:54|0:00:32|49.8%|239/480
READ-raw-batch1-AE_head-success|2025-10-22 22:21:49|0:00:54|50.0%|240/480
READ-raw-batch1-None-success|2025-10-22 22:22:20|0:00:31|50.2%|241/480
READ-raw-batch2-AE_head-success|2025-10-22 22:23:14|0:00:53|50.4%|242/480
READ-raw-batch2-None-success|2025-10-22 22:23:45|0:00:31|50.6%|243/480
READ-raw-batch3-AE_head-success|2025-10-22 22:24:39|0:00:53|50.8%|244/480
READ-raw-batch3-None-success|2025-10-22 22:25:10|0:00:31|51.0%|245/480
READ-raw-batch4-AE_head-success|2025-10-22 22:26:04|0:00:53|51.2%|246/480
READ-raw-batch4-None-success|2025-10-22 22:26:35|0:00:31|51.5%|247/480
READ-raw-batch5-AE_head-success|2025-10-22 22:27:33|0:00:58|51.7%|248/480
