SyNG-BTS实验记录 - PAAD_5-2和READ_5-2
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
PAAD_5-2-TC-batch9-Gaussian_head-success|2025-11-06 20:26:55|0:00:50|23.9%|86/360
PAAD_5-2-TC-batch10-AE_head-success|2025-11-06 20:28:04|0:01:09|24.2%|87/360
PAAD_5-2-TC-batch10-None-success|2025-11-06 20:28:41|0:00:36|24.4%|88/360
PAAD_5-2-TC-batch10-Gaussian_head-success|2025-11-06 20:29:31|0:00:50|24.7%|89/360
PAAD_5-2-TC-batch11-AE_head-success|2025-11-06 20:30:40|0:01:09|25.0%|90/360
PAAD_5-2-TC-batch11-None-success|2025-11-06 20:31:17|0:00:36|25.3%|91/360
PAAD_5-2-TC-batch11-Gaussian_head-success|2025-11-06 20:32:06|0:00:49|25.6%|92/360
PAAD_5-2-TC-batch12-AE_head-success|2025-11-06 20:33:17|0:01:10|25.8%|93/360
PAAD_5-2-TC-batch12-None-success|2025-11-06 20:33:55|0:00:38|26.1%|94/360
PAAD_5-2-TC-batch12-Gaussian_head-success|2025-11-06 20:34:46|0:00:50|26.4%|95/360
PAAD_5-2-TC-batch13-AE_head-success|2025-11-06 20:35:55|0:01:08|26.7%|96/360
PAAD_5-2-TC-batch13-None-success|2025-11-06 20:36:32|0:00:37|26.9%|97/360
PAAD_5-2-TC-batch13-Gaussian_head-success|2025-11-06 20:37:23|0:00:50|27.2%|98/360
PAAD_5-2-TC-batch14-AE_head-success|2025-11-06 20:38:32|0:01:09|27.5%|99/360
PAAD_5-2-TC-batch14-None-success|2025-11-06 20:39:08|0:00:36|27.8%|100/360
PAAD_5-2-TC-batch14-Gaussian_head-success|2025-11-06 20:39:58|0:00:49|28.1%|101/360
PAAD_5-2-TC-batch15-AE_head-success|2025-11-06 20:41:07|0:01:08|28.3%|102/360
PAAD_5-2-TC-batch15-None-success|2025-11-06 20:41:42|0:00:35|28.6%|103/360
PAAD_5-2-TC-batch15-Gaussian_head-success|2025-11-06 20:42:30|0:00:48|28.9%|104/360
PAAD_5-2-TC-batch16-AE_head-success|2025-11-06 20:43:37|0:01:06|29.2%|105/360
PAAD_5-2-TC-batch16-None-success|2025-11-06 20:44:15|0:00:38|29.4%|106/360
PAAD_5-2-TC-batch16-Gaussian_head-success|2025-11-06 20:45:04|0:00:48|29.7%|107/360
PAAD_5-2-TC-batch17-AE_head-success|2025-11-06 20:46:11|0:01:06|30.0%|108/360
PAAD_5-2-TC-batch17-None-success|2025-11-06 20:46:47|0:00:36|30.3%|109/360
PAAD_5-2-TC-batch17-Gaussian_head-success|2025-11-06 20:47:35|0:00:48|30.6%|110/360
PAAD_5-2-TC-batch18-AE_head-success|2025-11-06 20:48:43|0:01:07|30.8%|111/360
PAAD_5-2-TC-batch18-None-success|2025-11-06 20:49:19|0:00:35|31.1%|112/360
PAAD_5-2-TC-batch18-Gaussian_head-success|2025-11-06 20:50:07|0:00:48|31.4%|113/360
PAAD_5-2-TC-batch19-AE_head-success|2025-11-06 20:51:13|0:01:05|31.7%|114/360
PAAD_5-2-TC-batch19-None-success|2025-11-06 20:51:48|0:00:35|31.9%|115/360
PAAD_5-2-TC-batch19-Gaussian_head-success|2025-11-06 20:52:37|0:00:48|32.2%|116/360
PAAD_5-2-TC-batch20-AE_head-success|2025-11-06 20:53:40|0:01:03|32.5%|117/360
PAAD_5-2-TC-batch20-None-success|2025-11-06 20:54:14|0:00:33|32.8%|118/360
PAAD_5-2-TC-batch20-Gaussian_head-success|2025-11-06 20:55:03|0:00:48|33.1%|119/360
